rank,id,Country,Continent,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
193,e874ebf4-8dc3-4430-8cee-7188fe21b727,Saint Martin,North America,30.27,0.52,282.86,11.63,12026,0,63,0,1399,0,10564,112382,39730,3,631,0,1586.0,7,2828643,302693.0
194,10c001f9-5d62-4525-bfae-70dbdd7493d9,Greenland,North America,21.01,0.18,289.48,23.06,11971,0,21,0,2761,0,9189,164926,56973,5,2713,0,369.0,4,2894810,210117.0
195,2223fb5d-b4b7-44f6-a006-ade92c817990,Vanuatu,Australia/Oceania,3.71,0.12,7.76,99.87,11952,0,14,0,11937,0,1,24976,321832,27,22988,13,44.0,0,77606,37137.0
196,7571007a-00f6-4500-bb60-f4fefbd4e388,Yemen,Asia,0.04,18.07,1.06,76.38,11945,0,2159,0,9124,0,662,329592,31154867,2608,14430,95,69.0,23,10579,383.0
197,7c640202-55e5-4657-9891-f36fc57df35b,Caribbean Netherlands,North America,42.56,0.32,113.06,92.38,11340,0,36,0,10476,0,828,30126,26647,2,740,1,1351.0,0,1130559,425564.0
198,e5f66c08-7ee3-42ef-8794-bc5893959c2d,Sint Maarten,North America,24.86,0.81,141.15,99.1,10931,0,89,0,10833,0,9,62056,43966,4,494,1,2024.0,0,1411454,248624.0
199,73a44b22-4103-4219-abf6-6a9052c5a6ea,Eritrea,Africa,0.28,1.01,0.65,98.99,10189,0,103,0,10086,0,0,23693,3662244,359,35556,155,28.0,0,6470,2782.0
200,ff4865bd-4235-44b3-89a7-d5780521117c,Niger,Africa,0.04,3.14,0.98,89.52,9931,0,312,0,8890,0,729,254538,26083660,2626,83601,102,12.0,1,9759,381.0
201,a9022093-264b-4ef7-8040-1af903412df3,Antigua and Barbuda,North America,9.15,1.6,18.99,98.33,9106,0,146,0,8954,0,6,18901,99509,11,682,5,1467.0,1,189943,91509.0
202,1ab1822a-8b0c-42bd-afe6-fb7e43d89d69,Comoros,Africa,0.98,1.81,0.0,96.71,8879,0,161,0,8587,0,131,0,907419,102,5636,0,177.0,0,0,9785.0
